name,age,value,nationality,overall,potential,club
Alberto Soro,19,€1.4M,Spain,66,80,Real Zaragoza
C. Chambers,23,€6.5M,England,74,80,Fulham
Diego Pampín,18,€450K,Spain,61,79,RC Celta
Pozuelo,26,€12M,Spain,78,79,KRC Genk
J. David,18,€375K,Germany,60,79,Hamburger SV
Pol Valentín,21,€1.1M,Spain,65,79,Gimnàstic de Tarragona
L. Bolton,18,€525K,England,61,79,Manchester City
Víctor,21,€1.2M,Spain,66,79,Deportivo de La Coruña
J. Kade,19,€650K,Germany,62,79,Hertha BSC
Christian Rivera,20,€2.4M,Spain,70,79,SD Huesca
M. Taylor-Crossdale,18,€525K,England,61,79,Chelsea
B. Davies,22,€2.4M,England,70,79,Preston North End
J. Willock,18,€525K,England,61,79,Arsenal
Escudero,28,€10M,Spain,79,79,Sevilla FC
Obama,18,€325K,Spain,59,79,Atlético Madrid
Fran Villalba,20,€1.7M,Spain,69,79,CD Numancia
C. Brittain,20,€600K,England,62,79,Milton Keynes Dons
Moi Gómez,24,€7.5M,Spain,74,79,SD Huesca
B. Wilmot,18,€290K,England,59,79,Watford
J. Davenport,19,€725K,England,63,79,Blackburn Rovers
R. Edmondson,17,€230K,England,57,79,Leeds United
A. Fein,19,€950K,Germany,64,79,SSV Jahn Regensburg
Mollejo,17,€300K,Spain,59,79,Atlético Madrid
J. Pollersbeck,23,€3.2M,Germany,72,79,Hamburger SV
P. Pfeiffer,18,€475K,Germany,61,79,Hamburger SV
T. Nydam,18,€925K,England,64,79,St. Johnstone FC
N. Kirby,18,€325K,England,59,79,Crystal Palace
Granell,29,€12M,Spain,79,79,Girona FC
Diego González,23,€3M,Spain,71,79,Málaga CF
A. Young,32,€7M,England,79,79,Manchester United
J. Hector,28,€10M,Germany,79,79,1. FC Köln
Fede,21,€2.4M,Spain,70,79,Granada CF
Kike García,28,€13M,Spain,79,79,SD Eibar
R. Knoche,26,€8M,Germany,76,79,VfL Wolfsburg
Luca Sangalli,23,€3.5M,Spain,71,79,Real Sociedad
Jorge Pombo,24,€4.4M,Spain,72,79,Real Zaragoza
Jesús Areso,18,€825K,Spain,64,79,Athletic Club de Bilbao
Jesé,25,€9.5M,Spain,76,79,Paris Saint-Germain
T. Heaton,32,€7M,England,79,79,Burnley
H. Chapman,20,€1.2M,England,65,79,Middlesbrough
Roque Mesa,29,€10M,Spain,79,79,Sevilla FC
Toni Moya,20,€800K,Spain,63,79,Atlético Madrid
T. Walcott,29,€12.5M,England,79,79,Everton
S. Ojo,21,€1.4M,England,67,79,Stade de Reims
Brandon Thomas,23,€4.4M,Spain,72,79,CA Osasuna
J. Ibe,22,€7.5M,England,74,79,Bournemouth
Juanmi,25,€9.5M,Spain,76,79,Real Sociedad
Alberto Moreno,25,€9M,Spain,77,79,Liverpool
David López,28,€10M,Spain,79,79,RCD Espanyol
Nolito,31,€11M,Spain,79,79,Sevilla FC
Ibai Gómez,28,€12.5M,Spain,79,79,Deportivo Alavés
B. Hübner,28,€10M,Germany,79,79,TSG 1899 Hoffenheim
N. Dorsch,20,€1.1M,Germany,66,79,1. FC Heidenheim 1846
R. Bertrand,28,€10M,England,79,79,Southampton
Ángel,31,€11.5M,Spain,79,79,Getafe CF
J. Williams,21,€1.5M,England,69,79,Bolton Wanderers
I. Hayden,23,€3.7M,England,72,79,Newcastle United
B. Godfrey,20,€1.1M,England,66,79,Norwich City
Sergio León,29,€12.5M,Spain,79,79,Real Betis
N. Rapp,21,€1.5M,Germany,69,79,FC Erzgebirge Aue
Borja García,27,€13M,Spain,79,79,Girona FC
Kiko Casilla,31,€7.5M,Spain,79,79,Real Madrid
J. Brownhill,22,€3.4M,England,71,79,Bristol City
D. da Costa,24,€9M,Germany,77,79,Eintracht Frankfurt
T. Pearce,20,€900K,England,64,79,Leeds United
L. Amos,21,€1.2M,England,65,79,Tottenham Hotspur
Álex Moreno,25,€6M,Spain,74,79,Rayo Vallecano
Fabricio,30,€8M,Spain,79,79,Fulham
Álvaro,28,€9.5M,Spain,78,79,Villarreal CF
Jaume Costa,30,€9M,Spain,79,79,Villarreal CF
Javi Sánchez,21,€1.2M,Spain,67,79,Real Madrid
Iborra,30,€9.5M,Spain,79,79,Leicester City
J. Ralls,24,€7.5M,England,74,79,Cardiff City
K. Phillips,22,€4.7M,England,73,79,Leeds United
N. Petersen,29,€12.5M,Germany,79,79,SC Freiburg
Javi Hernández,20,€1.1M,Spain,65,79,Real Oviedo
Tete Morente,21,€1.4M,Spain,67,79,Gimnàstic de Tarragona
F. Muslija,19,€1.5M,Germany,68,79,Hannover 96
M. Penney,20,€725K,England,63,79,Sheffield Wednesday
D. McNeil,18,€925K,England,64,79,Burnley
D. Heintz,24,€9M,Germany,77,79,SC Freiburg
M. Mehlem,20,€1.5M,Germany,68,79,SV Darmstadt 98
J. Kenny,21,€3.7M,England,72,79,Everton
S. Ambrosius,19,€725K,Germany,63,79,Hamburger SV
M. Stendera,22,€7.5M,Germany,74,79,Eintracht Frankfurt
P. Köpke,22,€3.5M,Germany,71,79,Hertha BSC
N. Körber,21,€1.1M,Germany,67,79,VfL Osnabrück
Mayoral,21,€1M,Spain,64,79,AD Alcorcón
L. Waldschmidt,22,€5.5M,Germany,73,79,SC Freiburg
De Marcos,29,€9.5M,Spain,79,79,Athletic Club de Bilbao
R. Williams,19,€875K,England,64,79,Manchester United
D. Drinkwater,28,€12.5M,England,79,79,Chelsea
Cristian Rivero,20,€1.1M,Spain,67,79,Valencia CF
Iñigo Vicente,20,€1.2M,Spain,66,79,Athletic Club de Bilbao
R. Harper,18,€750K,England,63,79,West Bromwich Albion
Iñigo Muñoz,21,€1.4M,Spain,67,79,Athletic Club de Bilbao
N. Redmond,24,€8.5M,England,75,79,Southampton
N. Leiva,21,€3.5M,Spain,71,79,Olympiacos CFP
R. Yates,20,€1.2M,England,66,79,Nottingham Forest
Marc Cardona,22,€2.8M,Spain,70,79,SD Eibar
José Arnáiz,23,€2.7M,Spain,70,79,CD Leganés
C. Adams,21,€3.6M,England,71,79,Birmingham City
R. Adler,33,€6.5M,Germany,79,79,1. FSV Mainz 05
O. Richards,19,€875K,England,64,79,Reading
G. Diangana,20,€1M,England,64,79,West Ham United
E. Thommy,23,€8.5M,Germany,75,79,VfB Stuttgart
D. Baier,34,€3.8M,Germany,79,79,FC Augsburg
M. Targett,22,€2.3M,England,70,79,Southampton
R. Morrison,25,€9.5M,England,76,79,Lazio
F. Götze,20,€1.1M,Germany,65,79,FC Augsburg
M. Halstenberg,26,€10M,Germany,78,79,RB Leipzig
B. Mee,28,€10M,England,79,79,Burnley
Pau Torres,21,€3M,Spain,71,79,Málaga CF
C. Lakin,19,€775K,England,63,79,Birmingham City
B. Henning,23,€2.4M,Germany,70,79,FC Wacker Innsbruck
N. Füllkrug,25,€12.5M,Germany,78,79,Hannover 96
Fran García,18,€825K,Spain,64,79,Real Madrid
Recio,27,€8M,Spain,76,79,CD Leganés
L. Fröde,23,€3M,Germany,71,79,MSV Duisburg
J. Hart,31,€7.5M,England,79,79,Burnley
J. Tomkins,29,€9M,England,78,79,Crystal Palace
Javi Alonso,19,€650K,Spain,62,78,CD Tenerife
Arbilla,31,€7M,Spain,78,78,SD Eibar
M. O'Riley,17,€250K,England,58,78,Fulham
Lucas Pérez,29,€10.5M,Spain,78,78,West Ham United
T. Tillman,19,€450K,Germany,60,78,1. FC Nürnberg
Granero,30,€9.5M,Spain,78,78,RCD Espanyol
Z. Medley,17,€375K,England,60,78,Arsenal
Jurado,32,€8M,Spain,78,78,Al Ahli
M. Bird,17,€220K,England,57,78,Derby County
Javi García,31,€7M,Spain,78,78,Real Betis
S. Schreck,19,€550K,Germany,61,78,Bayer 04 Leverkusen
Sergio,31,€6.5M,Spain,78,78,RC Celta
M. Cooper,18,€210K,England,58,78,Plymouth Argyle
J. Cork,29,€10M,England,78,78,Burnley
J. Mbom,18,€325K,Germany,59,78,SV Werder Bremen
S. Cook,27,€8.5M,England,78,78,Bournemouth
Iñaki Peña,19,€450K,Spain,61,78,FC Barcelona
L. Podolski,33,€6.5M,Germany,78,78,Vissel Kobe
S. Graham,17,€210K,England,57,78,Oldham Athletic
Manu García,32,€6M,Spain,78,78,Deportivo Alavés
M. Guehi,17,€230K,England,58,78,Chelsea
Bruno,28,€8M,Spain,77,78,Getafe CF
K. Bennetts,19,€450K,England,60,78,Borussia Mönchengladbach
A. Schwolow,26,€7M,Germany,77,78,SC Freiburg
Rubén Peña,26,€8.5M,Spain,77,78,SD Eibar
P. Groß,27,€10M,Germany,77,78,Brighton & Hove Albion
Montoya,27,€8M,Spain,77,78,Brighton & Hove Albion
A. McCarthy,28,€7M,England,77,78,Southampton
Cotán,22,€2.3M,Spain,70,78,Real Valladolid CF
Laguardia,28,€8M,Spain,77,78,Deportivo Alavés
D. Ginczek,27,€10.5M,Germany,77,78,VfL Wolfsburg
Juanpe,27,€8.5M,Spain,77,78,Girona FC
D. Ings,25,€9.5M,England,76,78,Southampton
J. Leko,19,€1.1M,England,66,78,West Bromwich Albion
D. Burnić,20,€1M,Germany,66,78,Borussia Dortmund
J. Rossiter,21,€1M,England,66,78,Rangers FC
Dani Martín,19,€875K,Spain,66,78,Real Sporting de Gijón
Jorge Cuenca,18,€850K,Spain,65,78,FC Barcelona
L. Unnerstall,27,€6M,Germany,76,78,VVV-Venlo
D. Batty,20,€900K,England,64,78,Hull City
Jaume,27,€6M,Spain,76,78,Valencia CF
Bernardo,24,€2.8M,Spain,71,78,CD Lugo
A. Nübel,21,€925K,Germany,66,78,FC Schalke 04
Vigaray,23,€3.6M,Spain,72,78,Deportivo Alavés
Rubén Sobrino,26,€9.5M,Spain,76,78,Deportivo Alavés
T. Cantwell,20,€1.3M,England,67,78,Norwich City
K. Hause,22,€1.1M,England,67,78,Wolverhampton Wanderers
J. Hesketh,22,€1.3M,England,67,78,Burton Albion
J. Mees,22,€1.6M,Germany,69,78,1. FC Union Berlin
Miguel,18,€950K,Spain,64,78,Real Valladolid CF
Burgui,24,€8.5M,Spain,75,78,Deportivo Alavés
Bustinza,26,€7M,Spain,75,78,CD Leganés
J. Earl,19,€1.1M,England,67,78,Preston North End
F. Woodman,21,€825K,England,64,78,Newcastle United
Chema Rodríguez,26,€7M,Spain,75,78,Levante UD
Sergi Palencia,22,€2.2M,Spain,70,78,FC Girondins de Bordeaux
N. Seufert,21,€1.3M,Germany,67,78,DSC Arminia Bielefeld
Borja Valle,25,€8.5M,Spain,75,78,Deportivo de La Coruña
Borja Bastón,25,€8.5M,Spain,75,78,Deportivo Alavés
Paolo Fernandes,19,€1.3M,Spain,67,78,NAC Breda
R. Hack,19,€800K,Germany,63,78,TSG 1899 Hoffenheim
Zaldúa,26,€7M,Spain,75,78,Real Sociedad
Rubén Pardo,25,€8M,Spain,75,78,Real Sociedad
Lekue,25,€7M,Spain,75,78,Athletic Club de Bilbao
Sergio Álvarez,26,€7M,Spain,75,78,SD Eibar
Nolaskoain,19,€1.1M,Spain,67,78,Athletic Club de Bilbao
S. Gümüş,24,€7.5M,Germany,74,78,Galatasaray SK
Manquillo,24,€6M,Spain,74,78,Newcastle United
A. Pritchard,25,€7.5M,England,74,78,Huddersfield Town
L. Moore,25,€6M,England,74,78,Reading
Insua,24,€6M,Spain,74,78,SD Huesca
C. Styles,18,€750K,England,63,78,Bury
Tachi,20,€725K,Spain,63,78,Atlético Madrid
J. Toljan,23,€6M,Germany,74,78,Borussia Dortmund
M. Kenlock,21,€1.1M,England,67,78,Ipswich Town
Ramalho,25,€6M,Spain,74,78,Girona FC
Guruzeta,21,€1.3M,Spain,67,78,Athletic Club de Bilbao
José Suárez,22,€1M,Spain,67,78,Girona FC
B. Dack,24,€7.5M,England,74,78,Blackburn Rovers
J. Haberer,24,€7M,Germany,74,78,SC Freiburg
Javi Jiménez,22,€1.2M,Spain,68,78,Gimnàstic de Tarragona
A. Hack,24,€6M,Germany,74,78,1. FSV Mainz 05
C. Taylor,24,€6M,England,74,78,Burnley
J. Serra,20,€1.1M,Germany,65,78,Holstein Kiel
Clemente,19,€725K,Spain,63,78,Real Zaragoza
J. Bryan,24,€6M,England,74,78,Fulham
Marc Muniesa,26,€6M,Spain,74,78,Girona FC
Edu Frias,19,€800K,Spain,64,78,RCD Espanyol
T. Bayliss,19,€775K,England,63,78,Coventry City
R. Neudecker,21,€1.5M,Germany,68,78,FC St. Pauli
A. Akkaynak,19,€775K,Germany,63,78,Willem II
David Concha,21,€1.5M,Spain,68,78,Real Sociedad
Andrés Martín,18,€625K,Spain,62,78,Córdoba CF
D. Johnson,19,€600K,England,62,78,Leicester City
M. Feeney,19,€600K,England,62,78,Everton
Raul Asencio,20,€1.1M,Spain,65,78,Benevento
M. Richter,20,€1.6M,Germany,69,78,FC Augsburg
Iván López,24,€4.5M,Spain,73,78,Gimnàstic de Tarragona
José Rodríguez,23,€4.5M,Spain,73,78,Fortuna Sittard
Sivera,21,€2.5M,Spain,71,78,Deportivo Alavés
B. Reid,25,€5.5M,England,73,78,Cardiff City
Cristo González,20,€1.2M,Spain,66,78,Real Madrid
S. Longstaff,20,€975K,England,64,78,Newcastle United
P. Erras,23,€1.4M,Germany,69,78,1. FC Nürnberg
Jon Bautista,22,€4.3M,Spain,72,78,Real Sociedad
Naranjo,23,€4.3M,Spain,72,78,CD Tenerife
H. Reed,23,€2.8M,England,71,78,Blackburn Rovers
Nacho Vidal,23,€2.8M,Spain,71,78,CA Osasuna
G. Holtmann,23,€3.3M,Germany,71,78,1. FSV Mainz 05
B. Osborn,23,€4.3M,England,72,78,Nottingham Forest
M. Sobottka,24,€3.6M,Germany,72,78,Fortuna Düsseldorf
M. Friedrich,22,€2.3M,Germany,70,78,1. FC Union Berlin
Aleix Febas,22,€1.6M,Spain,69,78,Albacete BP
Puado,20,€1.7M,Spain,69,78,RCD Espanyol
L. Baker,23,€2.6M,England,70,78,Leeds United
J. Windass,24,€4.3M,England,72,78,Wigan Athletic
F. Schnellhardt,24,€3.3M,Germany,71,78,MSV Duisburg
M. Christiansen,21,€1.4M,Germany,69,78,DSC Arminia Bielefeld
K. Grant,20,€1.1M,England,65,78,Charlton Athletic
L. Klünter,22,€1.4M,Germany,69,78,Hertha BSC
J. Marriott,23,€3.4M,England,71,78,Derby County
J. Gressel,24,€4.3M,Germany,72,78,Atlanta United
Aketxe,24,€4.3M,Spain,72,78,Cádiz CF
M. Wittek,22,€2.2M,Germany,70,78,SpVgg Greuther Fürth
Aitor Lorea,20,€550K,Spain,61,77,CA Osasuna
M. Bettinelli,26,€3.6M,England,73,77,Fulham
P. Will,19,€525K,Germany,61,77,FC Bayern München
H. Adelakun,22,€950K,England,65,77,Bristol City
J. Sbarra,19,€270K,England,58,77,Burton Albion
Adrián Diéguez,22,€1.3M,Spain,69,77,Deportivo Alavés
N. Awuku,18,€260K,Germany,58,77,Holstein Kiel
I. Toney,22,€1.2M,England,67,77,Peterborough United
N. Holland,20,€675K,England,62,77,West Ham United
C. Gentner,32,€6.5M,Germany,77,77,VfB Stuttgart
S. Sessegnon,18,€230K,England,58,77,Fulham
M. Baku,20,€800K,Germany,63,77,SG Sonnenhof Großaspach
L. Maloney,18,€190K,Germany,57,77,1. FC Union Berlin
Dani Gómez,19,€800K,Spain,63,77,Real Madrid
A. Hartigan,18,€210K,England,57,77,AFC Wimbledon
J. Geis,24,€6M,Germany,74,77,FC Schalke 04
B. Morris,18,€425K,England,60,77,Forest Green Rovers
M. Schmelzer,30,€6.5M,Germany,77,77,Borussia Dortmund
R. Schofield,18,€170K,England,57,77,Huddersfield Town
D. Schwaab,29,€7M,Germany,77,77,PSV
P. Dárdai,19,€650K,Germany,62,77,Hertha BSC
Roberto,32,€5M,Spain,77,77,RCD Espanyol
D. Adshead,16,€200K,England,57,77,Rochdale
David Raya,22,€1.8M,Spain,70,77,Blackburn Rovers
A. Amade,18,€230K,Germany,58,77,TSG 1899 Hoffenheim
A. Webster,23,€3.5M,England,72,77,Bristol City
B. Taz,19,€220K,Germany,57,77,1. FC Union Berlin
J. Defoe,35,€4.1M,England,77,77,Bournemouth
C. Humphreys-Grant,19,€600K,England,62,77,Manchester City
Vesga,25,€3.5M,Spain,72,77,CD Leganés
J. Shackleton,18,€210K,England,57,77,Leeds United
C. Coady,25,€6M,England,74,77,Wolverhampton Wanderers
J. Maddox,19,€450K,England,60,77,Cheltenham Town
J. Sims,21,€1.2M,England,67,77,Reading
D. Spence,17,€180K,England,57,77,Middlesbrough
T. Bishop,21,€1.2M,England,67,77,Ipswich Town
Algobia,19,€450K,Spain,60,77,Rayo Vallecano
Gumbau,23,€2.8M,Spain,71,77,CD Leganés
J. Tymon,19,€400K,England,60,77,Stoke City
Lluis López,21,€1.1M,Spain,67,77,RCD Espanyol
C. Slattery,19,€450K,England,60,77,Southampton
A. Schürrle,27,€9.5M,Germany,77,77,Fulham
D. Wanner,19,€450K,Germany,60,77,Borussia Dortmund
J. Harrop,22,€1.5M,England,69,77,Preston North End
D. Duhaney,19,€475K,England,61,77,Huddersfield Town
Jorge Molina,36,€3.2M,Spain,77,77,Getafe CF
M. Wintzheimer,19,€550K,Germany,61,77,Hamburger SV
Jairo,24,€7M,Spain,74,77,Hamburger SV
F. Benko,20,€550K,Germany,61,77,LASK Linz
C. Austin,28,€9M,England,77,77,Southampton
S. Abifade,18,€200K,Germany,56,77,Eintracht Braunschweig
Markel Bergara,32,€5M,Spain,77,77,Getafe CF
J. Beste,19,€475K,Germany,61,77,SV Werder Bremen
R. Bormuth,22,€1.3M,Germany,69,77,Fortuna Düsseldorf
R. Khedira,24,€6M,Germany,74,77,FC Augsburg
J. Huth,24,€1.2M,Germany,69,77,1. FSV Mainz 05
P. Kammerbauer,21,€1.1M,Germany,67,77,SC Freiburg
G. Fechner,20,€850K,Germany,65,77,1. FC Kaiserslautern
J. Murphy,23,€2.5M,England,70,77,Cardiff City
T. Pachonik,23,€2.7M,Germany,71,77,Carpi
Álex Centelles,18,€700K,Spain,64,77,Valencia CF
Victor Sánchez,30,€6.5M,Spain,77,77,RCD Espanyol
J. Rodriguez,28,€9M,England,77,77,West Bromwich Albion
Álex Domínguez,19,€650K,Spain,63,77,Deportivo Alavés
R. Henry,20,€1.1M,England,67,77,Brentford
M. Lowe,21,€1.1M,England,67,77,Aberdeen
Jordi Calavera,22,€2.7M,Spain,71,77,SD Eibar
Serantes,28,€5.5M,Spain,75,77,CD Leganés
F. Platte,22,€2.5M,Germany,70,77,SV Darmstadt 98
N. Müller,30,€8.5M,Germany,77,77,Eintracht Frankfurt
R. Woods,24,€3.5M,England,72,77,Stoke City
K. Palmer,21,€1.6M,England,69,77,Blackburn Rovers
C. Mahoney,21,€1.2M,England,67,77,Birmingham City
A. Carroll,29,€9M,England,77,77,West Ham United
L. Baines,33,€3.4M,England,77,77,Everton
Carlos Abad,23,€950K,Spain,67,77,Córdoba CF
Álvaro Tejero,21,€1.1M,Spain,67,77,Albacete BP
S. Gallagher,22,€1.6M,England,69,77,Southampton
Mikel San José,29,€8.5M,Spain,77,77,Athletic Club de Bilbao
Óscar Pinchi,22,€1.1M,Spain,66,77,Atlético Madrid
Rubén García,24,€4.2M,Spain,72,77,CA Osasuna
Jonatan Soriano,32,€7M,Spain,77,77,Beijing Sinobo Guoan FC
Álex Fernández,25,€3.5M,Spain,72,77,Cádiz CF
D. Welbeck,27,€9.5M,England,77,77,Arsenal
M. Gersbeck,23,€1.2M,Germany,69,77,Hertha BSC
L. Guwara,22,€1.1M,Germany,67,77,FC Utrecht
E. Durm,26,€6.5M,Germany,75,77,Huddersfield Town
Javi Fuego,34,€2.7M,Spain,77,77,Villarreal CF
Borja Sánchez,22,€1.1M,Spain,66,77,Real Oviedo
Andoni López,22,€950K,Spain,66,77,UD Almería
K. Bryan,21,€775K,England,64,77,Sheffield United
J. Aribo,21,€1.1M,England,66,77,Charlton Athletic
T. Strobl,28,€7M,Germany,77,77,Borussia Mönchengladbach
P. Jaeckel,19,€825K,Germany,65,77,SpVgg Greuther Fürth
Lasure,24,€2.1M,Spain,70,77,Real Zaragoza
S. Bell,26,€7.5M,Germany,76,77,1. FSV Mainz 05
Sergio García,35,€4.1M,Spain,77,77,RCD Espanyol
J. Jones,20,€975K,England,65,77,Coventry City
F. Bredlow,23,€1.2M,Germany,69,77,1. FC Nürnberg
Luis Pérez,23,€1.3M,Spain,69,77,CD Tenerife
S. Surridge,19,€850K,England,64,77,Oldham Athletic
Iván Ramis,33,€3.6M,Spain,77,77,SD Eibar
D. Raum,20,€1.1M,Germany,66,77,SpVgg Greuther Fürth
F. Forster,30,€5.5M,England,76,77,Southampton
Vadillo,23,€3.2M,Spain,71,77,Granada CF
Kiko Femenía,27,€7M,Spain,76,77,Watford
E. Iyoha,20,€975K,Germany,65,77,FC Erzgebirge Aue
G. Castro,31,€7.5M,Germany,77,77,VfB Stuttgart
F. Klaus,25,€9M,Germany,76,77,VfL Wolfsburg
R. Gosens,23,€4.2M,Germany,72,77,Atalanta
A. Gray,27,€9M,England,76,77,Watford
Marc Gual,22,€2.5M,Spain,70,77,Real Zaragoza
P. Stenzel,22,€3.5M,Germany,72,77,SC Freiburg
M. Bennett,21,€1.1M,England,66,77,Derby County
K. Edwards,20,€975K,England,65,77,West Bromwich Albion
Carles Planas,27,€7M,Spain,76,77,Girona FC
Diego Mariño,28,€6M,Spain,76,77,Real Sporting de Gijón
A. Diawusie,20,€1.1M,Germany,66,77,FC Ingolstadt 04
Embarba,26,€9M,Spain,76,77,Rayo Vallecano
F. Reese,20,€975K,Germany,65,77,SpVgg Greuther Fürth
J. Thorniley,21,€850K,England,65,77,Sheffield Wednesday
Álvaro,20,€775K,Spain,65,77,Extremadura UD
S. Rode,27,€7.5M,Germany,76,77,Borussia Dortmund
Bernat,25,€7.5M,Spain,76,77,Paris Saint-Germain
Markel Areitio,21,€775K,Spain,65,77,SD Eibar
J. Bree,20,€850K,England,65,77,Aston Villa
J. Gyamerah,23,€1.3M,Germany,69,77,VfL Bochum 1848
Aleix Vidal,28,€7M,Spain,77,77,Sevilla FC
Rafa Navarro,24,€2.1M,Spain,70,77,FC Sochaux-Montbéliard
Adrián,30,€8.5M,Spain,77,77,FC Porto
Luismi,26,€3.4M,Spain,72,77,Real Valladolid CF
D. Latza,28,€9M,Germany,77,77,1. FSV Mainz 05
Tomás Pina,30,€8M,Spain,77,77,Deportivo Alavés
Jony,26,€9.5M,Spain,77,77,Deportivo Alavés
Yuri Berchiche,28,€7M,Spain,77,77,Athletic Club de Bilbao
M. Lowton,29,€6.5M,England,77,77,Burnley
B. Oczipka,29,€6.5M,Germany,77,77,FC Schalke 04
Rubén Castro,37,€3.2M,Spain,77,77,UD Las Palmas
Cote,28,€7M,Spain,77,77,SD Eibar
C. Brannagan,22,€1.4M,England,68,77,Oxford United
Koke Vegas,22,€1M,Spain,68,77,Levante UD
Borja Lasso,24,€3.2M,Spain,71,77,Sevilla FC
L. Ndukwu,19,€650K,England,62,77,Leicester City
K. Möhwald,24,€5M,Germany,73,77,SV Werder Bremen
Soriano,20,€1.1M,Spain,68,77,Sevilla FC
Villalibre,20,€1.4M,Spain,68,77,Athletic Club de Bilbao
M. Browne,20,€675K,England,62,77,Oxford United
P. Herrmann,27,€9.5M,Germany,77,77,Borussia Mönchengladbach
P. Jagielka,35,€2.1M,England,77,77,Everton
Pejiño,21,€1.4M,Spain,68,77,Sevilla FC
G. Prömel,23,€1.3M,Germany,69,77,1. FC Union Berlin
Jordi Masip,29,€6M,Spain,77,77,Real Valladolid CF
Ignasi Miquel,25,€4.3M,Spain,73,77,Getafe CF
S. Vasiliadis,20,€1.1M,Germany,66,77,SC Paderborn 07
Undabarrena,23,€1.3M,Spain,69,77,CD Tenerife
Pleguezuelo,21,€1.2M,Spain,68,77,Arsenal
Gorosabel,21,€1.2M,Spain,68,77,Real Sociedad
A. Reach,25,€5M,England,73,77,Sheffield Wednesday
Delmás,23,€1.2M,Spain,68,77,Real Zaragoza
S. March,23,€5M,England,73,77,Brighton & Hove Albion
Álex Mula,21,€1.6M,Spain,69,77,Málaga CF
B. Gimber,21,€975K,Germany,66,77,FC Ingolstadt 04
G. Murray,34,€4.7M,England,77,77,Brighton & Hove Albion
J. Chabot,20,€1.2M,Germany,68,77,FC Groningen
M. Clark,22,€1.2M,England,68,77,Vitesse
Edgar Badía,26,€3.6M,Spain,73,77,CF Reus Deportiu
R. Ledson,20,€950K,England,65,77,Preston North End
M. Wilks,19,€800K,England,63,77,Doncaster Rovers
N. Trott,19,€280K,England,59,76,West Ham United
A. Sabiri,21,€925K,Germany,65,76,Huddersfield Town
B. Ashley-Seal,19,€450K,England,60,76,Wolverhampton Wanderers
Álex Cobo,22,€800K,Spain,66,76,Deportivo de La Coruña
O. Atilgan,18,€220K,Germany,57,76,SG Dynamo Dresden
P. Sontheimer,19,€900K,Germany,65,76,SpVgg Greuther Fürth
E. Majetschak,18,€425K,Germany,60,76,RB Leipzig
B. Cargill,22,€825K,England,65,76,Milton Keynes Dons
R. Tulloch,17,€500K,England,61,76,West Bromwich Albion
Aguado,22,€900K,Spain,65,76,Córdoba CF
S. Klaas,20,€550K,Germany,61,76,VfL Osnabrück
V. Janelt,20,€925K,Germany,65,76,VfL Bochum 1848
L. Grill,19,€230K,Germany,58,76,1. FC Kaiserslautern
J. Hanson,22,€825K,England,65,76,Oxford United
N. Stierlin,18,€575K,Germany,62,76,RB Leipzig
K. Davis,20,€950K,England,65,76,Aston Villa
L. Schneider,18,€240K,Germany,58,76,FC Energie Cottbus
N. Garmendia,20,€925K,Spain,65,76,Udinese
Álvaro García,18,€425K,Spain,60,76,Albacete BP
K. Gibbs,28,€6M,England,76,76,West Bromwich Albion
T. Abraham,17,€250K,England,58,76,Fulham
Iván Cuéllar,34,€3.1M,Spain,76,76,CD Leganés
N. Rinderknecht,20,€650K,Germany,62,76,FC Ingolstadt 04
Mario Suárez,31,€6.5M,Spain,76,76,Guizhou Hengfeng FC
I. Ugbo,19,€550K,England,61,76,Scunthorpe United
S. Langkamp,30,€5.5M,Germany,76,76,SV Werder Bremen
D. Franke,19,€300K,Germany,59,76,VfL Wolfsburg
M. Esser,30,€4.9M,Germany,76,76,Hannover 96
G. Kılıç,18,€325K,Germany,59,76,1. FC Heidenheim 1846
T. Cleverley,28,€7.5M,England,76,76,Watford
Javi Mier,19,€650K,Spain,62,76,Real Oviedo
P. Bargfrede,29,€6M,Germany,76,76,SV Werder Bremen
A. Oxborough,20,€450K,England,61,76,Norwich City
F. Bartels,31,€7M,Germany,76,76,SV Werder Bremen
