ï»¿SHIP'S NAME,AKA,SHIP'S OWNER,VESSEL TYPE,YEAR BUILT,WHERE BUILT,DATE LOST,YEAR,MNTH,DAY,LOCATION LOST,LATITUDE LOST,LONGITUDE LOST,CAUSE OF LOSS,CONSTRUCTION,FLAG,LENGTH,BEAM,DRAFT,GROSS TONNAGE,NET TONNAGE,HOME (HAILING) PORT,DEPARTURE CITY,DEPARTURE STATE,DESTINATION PORT,MASTER,# CREW,# PASS,LIVES LOST,SHIP VALUE,CARGO VALUE,NATURE OF CARGO,USLSS STATION NAME,LOST,PHOTO ON FILE,MISC INFORMATION,MUSEUM CROSS REFERENCE
S.S.Angie Predmore (1885),,John Predmore,schooner,1869,"Barnegat, NJ",8/14/1885,1885,8,14,Absecon Inlet North shoal,,,Stranded,,,81.3,24.9,7.2,93.9,,"Tuckerton, NJ",Norfolk,VA,"Derby, CT",Enos Longstreet,6,,0,"$2,500","$2,000",Lumber,Atlantic City,N,N,#1799; Condemned,
S.S.Angielena,,,schooner,1900,"Gloucester, MA",4/26/1904,1904,4,26,Sandy Hook Point,,,Stranded,Wood,,62,18.4,7.6,40,,"Boston, MA",,,Fishing trip,Joseplis,8,0,0,"$5,000",,,Sandy Hook,N,N,#107536; Refloated,
S.S.Ann,,,schooner,,,9/2/1847,1847,9,2,Absecon bar,,,Stranded,,,,,,116,,,Philadelphia,PA,"Boston, MA",Cordson,,,0,"$2,000",,,,,N,Abandoned by crew,
S.S.Ann Carlet,,Samuel Adams,schooner,1861,"Castine, ME",1/2/1870,1870,1,2,Squan Beach,,,Grounded,Wood,US,86.1,23,8.4,116.95,,"Castine, ME",Baltimore,MD,"Fall River, MA",Westcot,5,,0,,,7000 bu corn,,Y,N,#335; Total loss,
S.S.Ann Cooley (1888),,,schooner,1853,"Elizabethport, NJ",8/5/1888,1888,8,5,Little Egg Harbor,,,Grounded,Wood,US,52.1,19.8,5,27.7,26.31,"Somers Point, NJ",Croaton,NC,"Atlantic City, NJ",Sims,3,2,0,"$1,800",$225,Bricks,Little Egg,N,N,#708; Refloated,
S.S.Ann Cooley (1889),,,schooner,1853,"Elizabethport, NJ",10/11/1889,1889,10,11,Barnegat Inlet,,,Grounded,Wood,US,52.1,19.8,5,27.7,26.31,"Somers Point, NJ",New York,NY,"Atlantic City, NJ",Peterson,3,1,0,"$1,500",$200,Bricks,Barnegat,N,N,#708; Refloated,
S.S.Ann Eliza B,,,schooner,,,3/2/1856,1856,3,2,"Highlands, NJ",,,Wrecked,,,,,,1900,,,Philadelphia,PA,"Boston, MA",,5,,0,,,,,,N,Crew badly frozen,
S.S.Ann Elizabeth (1846),,,schooner,,,9/8/1846,1846,9,8,Little Egg Harbor,,,Grounded,,,,,,,,,,,,,,,0,,,Coal,,Y,N,Total loss,
S.S.Ann Elizabeth (1852),,,schooner,,,3/5/1852,1852,3,5,Hereford Inlet bar,,,Stranded & bilged,,,,,,,,,,,,Harding,,,0,,,50 bbls flour,,Y,N,Total loss,
S.S.Ann H Hickman,A H Hickman,Jeremiah Smith & Co,schooner,1875,"Millville, NJ",3/24/1878,1876,3,24,Sandy Hook,,,Struck sunken ship,Wood,US,127,33,14,388,,"Philadelphia, PA",Philadelphia,PA,"Portland, ME",D Shaw,7,,0,"$20,000","$22,000",316 ton Steel rails,,Y,N,#105506; Total loss,
S.S.Ann J Trainer,,H W Derickson,schooner,1881,"Camden, NJ",9/6/1894,1894,9,6,Absecon,,,"Collision w/ ""S E Marvin""",Wood,US,141.8,35.2,11.7,426.88,405.54,"Philadelphia, PA",Kennebec,ME,"Philadelphia, PA",H W Derickson,4,3,0,"$15,000",$519,692 ton ice,,,N,#106031,
S.S.Ann Louisa Lockwood,,,schooner,1869,"Norwalk, CT",11/5/1884,1884,11,5,Hereford Inlet South bar,,,Grounded,,,125.2,29.1,15.7,338.31,321.39,"Boston, MA",Boston,MA,"Philadelphia, PA",Madison,7,,0,"$12,000",,Ballast,Hereford Inlet,N,N,#1812; Refloatd,
S.S.Ann S Brown,,Fisk,schooner,1871,,5/20/1873,1873,5,20,Sandy Hook,,,Stranded,Wood,US,,,9.5,176,,"Dennisville, NJ",Baltimore,MD,"Boston, MA",H H Fisk,,,,,Coal,,,N,N,Refloated; Towed to New York,
S.S.Ann S Cannon,,James Nelson,schooner,1857,"Philadelphia, PA",9/4/1878,1878,9,4,Little Egg Harbor Inlet,,,Stranded,Wood,US,,,,162.39,,"Philadelphia, PA",Georgetown,DC,"Pawtucket, RI",S C Morbury,5,,0,"$10,000",$600,252 ton coal,Little Egg Harbor #23,Y,N,#930; Total loss,
S.S.Ann W Baker,,,schooner,,,5/17/1853,1853,5,17,Five Fathom Bank Lightship N 2 mi,,,Sank,,,,,,60,,,Elizabeth City,NC,"New York, NY",,,,,,,Fish,,Y,N ,,
S.S.Anna Barton,,George W Shepherd Jr,schooner,1867,"South Milford, DE",5/2/1876,1876,5,21,Hereford Inlet bar,,,Stranded,Wood,,,,,224.37,213.16,"Philadelphia, PA",Gardiner,ME,"Philadelphia, PA",Benjamin McNeilly,6,,0,"$8,000","$2,000",324 ton Ice,Stone Harbor #35,,N,#1460,
S.S.Anna E Cranmer,,A R Pharo,schooner,1866,"Allowaystown, NJ",1/9/1885,1885,1,9,Sandy Hook Romer Shoal,,,Stranded,Wood,US,110.4,29.8,9,231.45,202.78,"Tuckerton, NJ",Richmond,VA,"New York, NY",James G Williks,6,,0,"$6,000","$2,000",Pinewood,,N,N,#522; Refloated; 2 more incidents in VA,
S.S.Anna E Ketchum,,P M Wheaton,schooner,1874,,3/1/1900,1900,3,1,,,,Dismasted & sinking,,,,,,370,,"Philadelphia, PA",Philadelphia,PA,"Jacksonville, FL",William Stille,7,,0,"$5,000","$1,500",489 ton coal,,Y,N,#105404; Abandoned; total loss,
S.S.Anna Elizabeth,,,schooner,,,8/26/1884,1884,8,26,Absecon S 10 mi,,,Dismasted in storm,,,,,,,,,Harwick,,"Philadelphia, PA",,,,,,,,,N,N,Partial loss,
S.S.Anna Jenkins,,Potter,schooner,1851,"Brookhaven, NY",12/15/1856,1856,12,15,Barnegat Shoal,,,Grounded,Wood,,,,10,117,,"Providence, RI",,,,Shearman,,,,,,,,Y,N,Total loss,
S.S.Anna Shepard,,,schooner,1858,"Brookhaven, NY",11/26/1875,1875,11,26,Barnegat,,,"Collision w/ ""Perkiomen""",,,,,8,174,,"Providence, RI",Providence,RI,"Wilmington, NC",C B Terry,,,,,,,,N,N,Towed to Philadelphia for repairs,
S.S.Anna Turner,,,schooner,,,2/6/1868,1868,2,6,Townsends Inlet,,,Stranded,,,,,,,,"Philadelphia, PA",New York,NY,"Wilmington, NC",,,,,,,General,,N,N,Refloated,
S.S.Annabella,,,schooner,,,9/9/1846,1846,9,9,Long Beach Island,,,Damaged in storm,,,,,,,,"Dennisville, NJ",Jersey City,NJ,,,,,,,,,,Y,N,Total loss,
S.S.Anne Maria,,,schooner,,,9/26/1847,1847,9,26,Beacon Light Inside,,,Grounded,,,,,,,,"Philadelphia, PA",Philadelphia,PA,"Chesapeake, MD",,,,,,,,,Y,N,Total loss,
S.S.Annie,,,schooner,,,9/18/1893,1893,9,18,Squan Beach LSS S 1 mi,,,Grounded,,,,,,,,"New York, NY",New York,NY,Delaware Bay,,4,,0,$600,,,Squan Beach,N,N,Refloated,
S.S.Annie and Reuben,,John L Gross Corp,schooner,1891,"Bath, ME",3/22/1943,1943,3,22,Seaside Park,,,Foundered,,,87.1,26.4,6.8,128,122,"Southwest Harbor, ME",,,Oyster Fishing,,14,,,,,Oysters,,Y,Y,#106825; Total loss,
S.S.Annie E Fowler (1887),A E Fowler,,schooner,1875,"Noank, CT",1/20/1887,1887,1,20,Absecon Inlet North bar,39-23-00 N,74-23-30 W,Stranded,,US,37.5,15.3,6,17.28,16.42,"Somers Point, NJ",Atlantic City,NJ,Fishing cruise,Robinson,4,,0,"$1,500",,,Absecon,N,N  ,#105494; Refloated,
S.S.Annie E Fowler (1892),A E Fowler,,schooner,1875,"Noank, CT",6/5/1892,1892,6,5,Atlantic City LSS S .5 mi,,,Stranded / Abandoned,,US,37.5,15.3,6,17.28,16.42,"Stonington, CT",New York,NY,"Atlantic City, NJ",Castro,3,,0,"$1,200",,None,Atlantic City,N,N,#105494; Refloated,
S.S.Annie E Pierce,,,schooner,1886,"Milford, DE",4/30/1887,1887,4,30,New Inlet bar,,,Grounded,,,88,24.2,6.5,92.98,88.33,"Wilmington, DE",New York,NY,"Atlantic City, NJ",Still,5,,0,"$8,000",$700,Bricks,,N,N,#106441 Refloated,
S.S.Annie Godfrey (1891),,,schooner,1877,"Noank, CT.",12/11/1891,1891,12,11,Atlantic City LSS N .5 mi,,,Stranded,,,39,15.5,6,17.52,16.69,"Somers Point, NJ",Atlantic City,NJ,"Atlantic City, NJ",Bowen,3,,0,"$1,000",$100,Fish,,N,N ,#105675 Refloated,
S.S.Annie L Palmer,,,schooner,1874,"Bath, ME",3/13/1882,1882,3,13,Island Beach LSS N 1 mi,,,Stranded,,,87.6,25.2,8.5,119.2,113.24,"Bath, ME",Baracoa,Cuba,"New York, NY",Lewis,6,,0,"$7,000",$900,Fruit,Island Beach #16,N,N ,#105422 Refloated,
S.S.Annie L Russell (1911),,George Russell,schooner,1878,"Milford, DE",10/11/1911,1911,10,11,Cape May 2 Mile Beach LSS SE 1.35 mi,,,Stranded,Wood,US,69.2,21.8,5,49,47,"Camden, NJ",Milton,DE,"Cape May, NJ",,3,,0,"$1,500",$530,Pilings,2 Mile Beach; Cold Spring,N,N,#105804; Refloated,
S.S.Annie L Russell (1912),,George Russell,schooner,1878,"Milford, DE",1/8/1912,1912,1,8,"Cape May, Tatham's Beach",,,Foundered,Wood,US,69.2,21.8,5,49,47,"Camden, NJ",Broadkill Creek,DE,"Cold Spring, NJ",Willis Whilden,3,,3,"$2,000",,Pilings,,Y,N,#105804; Total loss,
S.S.Annie M Reynolds,,,schooner,1882,"Milford, DE",7/5/1884,1884,7,5,Great Egg Harbor Inlet,,,Stranded,Wood,US,72,23,5.5,60.59,57.57,"Wilmington, DE",New York,NY,"Frederica, DE",Croper,5,,0,"$5,700",$250,Lime,,N,N,#106135; Made Absecon for repairs,
S.S.Annie Megee,,Young,schooner,1851,"Milton, DE",10/29/1873,1873,10,29,Cape May,,,Stranded in gale,,US,,,9,177,,"Philadelphia, PA",Boston,MA,"Philadelphia, PA",Young,,,0,,,,,N,N,Refloated,
S.S.Annie S Carll (1878),,,schooner,1871,"Glenwood, NY",1/30/1878,1878,1,30,Absecon Inlet North shoal,,,Stranded,,,67,20.4,5.3,48.06,45.66,"Patchogue, NY",Rappahannock,VA,"New York, NY",Seeman,5,0,0,"$4,000",$900,Oysters,Atlantic City #27,N,N,#105046; Refloated,
S.S.Annie S Carll (1887),,,schooner,1871,"Glenwood, NY",10/26/1887,1887,10,26,Absecon Inlet North shoal,,,Grounded,,,67,20.4,5.3,48.06,45.66,"New York, NY",New York,NY,"Barnegat City, NJ",Newton,3,0,0,"$2,000",$150,Stone,,N,N,#105046; Refloated,
S.S.Annie S Carll (1888),,,schooner,1871,"Glenwood, NY",12/22/1888,1888,12,22,Absecon Inlet North shoal,,,Stranded,,,67,20.4,5.3,48.06,45.66,"New York, NY",New York,NY,"New River, VA",Newton,5,0,0,"$3,000",$0,in ballast,Atlantic City #27,N,N,#105046; Refloated,
S.S.Arabella (1842),,,schooner,,,3/31/1842,1842,3,31,Long Beach Island,,,Stranded,,,,,,,,,Franklin,LA,"New York, NY",Green,,,,,,Heavy Timber,,,N,,
S.S.Arabella (1846),,,schooner,,,9/10/1846,1846,9,10,Long Beach Island,,,Stranded,,,,,,,,"Dennisville, NJ",,,,,6,1,7,,,,,,N,,
S.S.Arabella (1857),,,schooner,,,1/20/1857,1857,1,20,,,,Drifted out to sea,,,,,,,,"Absecon, NJ",,,,,,,,"$3,500",,,,,N,,
S.S.Archer & Reeves (011891),,Henry C Burdge,schooner,1865,"Wilmington, DE",1/24/1891,1891,1,24,Cape May,,,Leaking; in distress,Wood,US,112.3,31,9.7,253.1,240.44,"Philadelphia, PA",Norfolk,VA,"New York, NY",Henry C Burdge,7,,0,"$4,000",,375 ton lumber,,N,N,#954; Towed to Philadelphia; repaired,
S.S.Archer & Reeves (071891),,Henry C Burdge,schooner,1865,"Wilmington, DE",7/27/1891,1891,7,27,Brigantine Shoal,,,Stranded,Wood,US,112.3,31,9.7,253.1,240.44,"Philadelphia, PA",New York,NY,"Richmond, VA",Henry C Burdge,7,,0,"$6,000",,Old railroad iron,,Y,N,#954; Sunk; Total loss,
S.S.Arenetha A Shaw,,Holmes & Loviou,schooner,1877,,12/6/1878,1878,12,6,Brigantine Shoal,,,Stranded,,US,,,,557.26,,"Barnegat, NJ",Baltimore,MD,"Hoboken, NJ",Vauclere,8,0,0,"$33,000","$10,000",Soft coal,Brigantine #25,N,N,#105770; Partial loss; Refloated,
S.S.Arkansas (1846),,,schooner,,,2/15/1846,1846,2,15,Sandy Hook S 12 mi,,,Stranded in gale,Wood,US,,,,,,,Elizabeth City,NC,"New York, NY",Pierce,7,,1,,,Corn,,,N,,
S.S.Arlington,,,schooner,,,8/17/1909,1909,8,17,Long Island,,,Stranded,Wood,US,,,,,,"Boston, MA",Boston,MA,"New York, NY",,,,0,,,Pea Coal,,,N ,Washed ashore at Asbury Park,
S.S.Armenia,,,schooner,1872,,8/14/1878,1878,8,14,West Bay Whale Rock,,,Struck Rock/Stranded,,US,,,,199,,"Tuckerton, NJ",Providence,RI,"Philadelphia, PA",,6,0,0,"$8,000",,,#3,,N,#524,
S.S.Arrow,,,schooner,,,6/27/1903,1903,6,27,Atlantic City LSS NE .25 mi,,,,,,,,,41,,"Camden, NJ",Maurice River,NJ,"Atlantic City, NJ",Hellinger,4,,0,"$5,000",$0,None,Atlantic City ,N,None,Refloated,
S.S.Arthur,,,schooner,1879,"Lewes, DE",6/16/1892,1892,6,16,Great Egg Harbor Inlet,,,Stranded,,,72,21,5.2,56.04,53.25,"Somers Point, NJ",Somers Point,NJ,"Atlantic City, NJ",Townsend,4,0,0,"$3,000","$2,000",Wrecking gear,Great Egg,Y,N,#105849; Total loss,
S.S.Arthur H,,,schooner,1886,,12/6/1905,1905,12,6,"Keansburg, NJ",,,Burned,,,,,,16,,,,,,,2,,0,,,,,,N,#106405,
S.S.Arthur James,,,schooner,1904,"Essex, MA",4/29/1925,1925,4,29,Atlantic City SE 40 mi,,,Lost foremast & mainmast,,,103.4,24.8,10.6,135,95,"Gloucester, MA",,,Fishing service,A S A Baber,20,,20,,,,,N,N,Repaired,
S.S.Arthur McArdle,,George Fenimore,schooner,1891,"Camden, NJ",4/23/1904,1904,4,23,"Egg Island Reef, Bahamas",,,Stranded,Wood,US,186,38,18.8,894.6,849.8,"Philadelphia, PA",Philadelphia,PA,"Havana, Cuba",William H Magee,8,0,0,"$35,000","$29,000",Crude oil,,Y,N,#106887; Total loss,
S.S.Artie Garwood,,Van Brunt & Slaght,schooner,1862,"Mauricetown, NJ",12/14/1879,1879,12,14,Monmouth Beach E 2 mi,,,Stranded in gale,,,,,11,264,,"Bridgeton, NJ",Philadelphia,PA,"Boston, MA",Stevens,7,,0,"$10,000","$3,000",395 ton coal,Monmouth Beach #4,Y,N,Broke up; Total loss,
S.S.Asenath A Shaw (1878),,,schooner,1878,"Wilmington, DE",12/6/1878,1878,12,6,Brigantine Shoal,,,Grounded,Wood,US,155,35.5,15.6,557.26,529.40,"New York, NY",Providence,RI,"Baltimore, MD",Morgan,7,,0,"$20,000",,,,N,N ,#105770; Refloated,
S.S.Asenath A Shaw (1896),,Joseph Holmes,schooner,1878,"Wilmington, DE",2/6/1896,1896,2,6,Brigantine LSS S 300 yds,,,Stranded,Wood,US,155,35.5,15.6,557.26,529.40,"Philadelphia, PA",Providence,RI,"Baltimore, MD",Morgan,7,0,0,, ,,Brigantine,N,N,#105770; Refloated 7 months later,
S.S.Asenath A Shaw (1900),,Joseph Holmes,schooner,1878,"Wilmington, DE",10/7/1900,1900,10,7,NE Lightship NE 2 mi,,,"Collision w/ ""Hamilton""",Wood,US,155,35.5,15.6,557.26,529.40,"Philadelphia, PA",Philadelphia,PA,"Providence, RI",Benjamin W Smith,7,0,0,"$10,000","$5,000",890 tons of coal,,Y,N,#105770; Sank,
S.S.Asher S Parker,,,schooner,,,1/22/1892,1892,1,22,Barnegat Shoal,,,Stranded,,,,,,41,,"Perth Amboy, NJ",Little Egg Harbor,NJ,"Toms River, NJ",Irons,3,,0,"$1,000",,None,,,N ,,
S.S.Ashland (1912),,Reading Rail Co,schooner,1898,"Noank, CT",2/12/1912,1912,2,12,Highlands SE 15 mi,,,,Wood,,194,35,17.6,901,838,"Philadelphia, PA",Philadelphia,PA,"Bath, ME",Alex C Edstrand,5,0,0,"$8,155","$6,139",1453 tons of coal,,,N ,,
S.S.Atlantic (1843),,,schooner,,,9/9/1843,1843,9,9,Delaware Capes,,,Grounded,,,,,,,,,,,,,,,,,,,,,N,,
S.S.Auer,,,schooner,,,3/16/1841,1841,3,16,"Long Branch, NJ",,,Stranded in storm,Wood,US,,,,,,,,,,,,,,,,Coal,,Y,N,Total loss,
S.S.Azua,,J E McLean,schooner,1918,"Staten Island, NY",5/14/1930,1930,5,14,Barnegat SE 47 mi,,,"Collision w/ ""City of Atlanta""",Wood,US,171.2,34.8,14.7,664,613,"New York, NY",New York,NY,Bermuda,J E McLean,7,,3,,,Coal,,,N,#217247,
S.S.B Drummond,,Herbert & Bennet,schooner,,,2/17/1858,1858,2,17,"Long Branch, NJ",,,Sank,,,,,,,,"New York, NY",Squan,NJ,"New York, NY",J Fox,7,,7,"$8,000",,"Cargo from ""Clara Brookman""",,Y,N,Total loss,
S.S.B F Reeves,,,schooner,,,12/23/1872,1872,12,23,Cape May,,,Stranded,,,,,,,,"Manasquan, NJ",Maurice River,NJ,"New York, NY",,,,,,,,,,N,,
S.S.B Gonner,,,schooner,,,5/14/1879,1879,5,14,Cold Spring bar,,,Stranded,,,,,,,,"Wilmington, DE",Wilmington,DE,"Cape May, NJ",,,,,,,Coal,,N,N,Partial loss,
S.S.B Havens Jones,B H Jones,B B Pearce,schooner,1865,"Port Jefferson, NY",3/15/1886,1886,3,15,Absecon Inlet,,,"Collision w/ ""T Harris Kirk""",,,108,29.2,9.8,216,,"Perth Amboy, NJ",Barren Island,NY,"West Point, VA",D N Pearce,,,,,,,,N,N,#2552; Partial loss,
S.S.B I Hazard,,,schooner,1872,"Port Jefferson, NY",5/10/1912,1912,5,10,Brigantine LSS S 4 mi,,,Stranded,Wood,,131.8,31.1,8.4,392,349,"New York, NY",Beaufort,NC,"New York, NY",,6,,0,"$7,000","$10,000",Lumber,"Brigantine, S Brigantine , Atlantic City",,N,#2836,
S.S.B N Hawkins,,,schooner,,,1/6/1878,1878,1,6,Brigantine Shoal,,,Stranded,,,,,,395.51,,"New York, NY",Charleston,SC,"New York, NY",Turpin,10,,0,"$20,000","$3,000",Lumber,Brigantine #25,Y,N,#2354; Total loss,
S.S.B T Riggin (1898),,,schooner,1877,"Back Creek, VA",7/12/1898,1898,7,12,Hereford Inlet LSS NE .25 mi,,,Stranded,,,52.3,14.4,3.4,13,12,"Cape Charles, VA",Hereford,NJ,Fishing service,Johnson,18,,0,"$1,000",,,Hereford Inlet,N,N,#3049; Refloated,
S.S.B T Riggin (1899),,,schooner,1877,"Back Creek, VA",8/29/1899,1899,8,29,Five Mile Beach,,,Stranded,,,52.3,14.4,3.4,13,12,"Cape Charles, VA",Hereford,NJ,Fishing service,Johnson,18,,0,"$1,000",,,Hereford Inlet,N,N,#3049; Refloated,
S.S.Balance (1847),,,schooner,,,1/22/1847,1847,1,22,Cape May Beach,,,Stranded; Bilged,,,,,,,,,Gloucester,MA,"Philadelphia, PA",,,,,,,,,Y,N,Total loss,
S.S.Balsa,,A D Cummins,schooner,1919,"Yarmouth, NS",4/23/1925,1925,4,23,Sandy Hook Romer Shoal,,,Stranded,Wood,US,161.1,35.6,13,557,514,"Philadelphia, PA",Philadelphia,PA,"New York, NY",Erickson,8,0,0,"$10,000",,None,,,N,#219352,
S.S.Baltimore (1838),,,schooner,,,9/12/1838,1838,9,12,Little Egg Harbor,,,Stranded in gale,,,,,,,,"New Haven, CT",Norfolk,VA,"New York, NY",Wetmore,,,,,,Corn & Staves,,,N,,
S.S.Baltimore (1846),,,schooner,,,5/12/1846,1846,5,12,Absecon Inlet,,,Capsized,,,,,,,,"Newark, NJ",Newark,NJ,"Philadelphia, PA",Samuel Jarvis,,,0,,,,,Y,N,Drifted on the beach,
S.S.Banvard,,,schooner,1848,"Haddam, CT",8/8/1886,1886,8,8,South Brigantine LSS SE 4 mi,,,In distress in gale,Wood,,,,,143.12,,"New York, NY",New York,NY,"Cape Henry, VA",Luker,6,,0,"$2,000",,None,South Brigantine,N,N,#2350,
S.S.Barnard,,,schooner,,,1/23/1878,1878,1,23,Little Egg LSS SW .75 mi,,,Stranded,,,,,,143,,,New York,NY,"Chickahominy, VA",Luker,6,,0,"$5,000",,,,,N,,
S.S.Barnett Jones (AM),,,schooner,,,11/10/1878,1878,11,10,Cold Spring Inlet,,,Stranded,,,,,,92.91,,"New York, NY",,,,,6,,0,,,,2 Mile Beach #38,N,N,#1691; Refloated,
S.S.Barnett Jones (PM),,,schooner,,,11/10/1878,1878,11,10,Cape May,,,Stranded,,,,,,92.91,,"New York, NY",,,,,6,,0,,,,Cape May #40,N,N,#1691; Refloated,
S.S.Barton,,,schooner,,,2/3/1850,1850,2,3,Barnegat SE 20 mi,,,Abandoned,,,,,,,,"Brooklyn, NY",Richmond,VA,"New York, NY",,6,,0,,,,,Y,N,"Total loss; Crew saved by ""Excel""",
S.S.Batsto,,,schooner,,,11/2/1843,1843,11,2,Egg Harbor,,,Grounded,,,,,,,,Tuckerton. NJ,Philadelphia,PA,"New York, NY",,,,0,,,Coal,,Y,N,Total loss,
S.S.Bella Russell,,,schooner,1872,"Leesburg, NJ",5/7/1897,1897,5,7,Little Egg LSS N .5 mi,,,Grounded,Wood,,118,29.5,8.6,222,210,"Bridgeton, NJ",Kennebec,ME,"Beach Haven, NJ",James,5,,0,"$8,000",$500,Ice,,N,N,#2834; Refloated,
S.S.Belle (1841),,,schooner,,,5/1/1841,1841,5,1,"Moriches, NY",39-12-00 N,71-40-00 W,Foundered; Grounded,,,,,,,,,New York,NY,"Madeiero, Brazil",,,,,,,,,Y,N,Crew probably lost; Total loss,
S.S.Belle (1842),,,schooner,,,10/2/1842,1842,10,2,Cape May Fishing Creek,,,Stranded,,,,,,,,"Philadelphia, PA",Philadelphia,PA,"New York, NY",Scull,,,,,,Coal,,Y,N,Total loss,
S.S.Belle (1847A),,,schooner,,,11/1847,1847,11,,Deal Beach,,,Wrecked,,,,,,,,,Charleston,SC,"New York, NY",McNeath,9,,0,,,,,N,N,Refloated,
S.S.Belle (1847B),,,schooner,,,12/16/1897,1897,12,16,Sickles Creek,,,Wrecked,,,,,,,,,Norfolk,VA,"New York, NY",McNeath,9,,0,,,Molasses,,,N,,
S.S.Belle (1868A),,,schooner,,,2/8/1868,1868,2,8,Deal Beach,,,Wrecked,,,,,,,,,,,,,5,,0,,,,,N,N,Refloated,
S.S.Belle (1868B),,,schooner,,,12/22/1868,1868,12,22,Townsends Inlet,,,Struck anchor,,,,,,,,,,,,,5,,0,,,,,N,N,Stranded on Ludlams Beach; Refloated,
S.S.Belle (1878A),,,schooner,,,1/6/1878,1878,1,6,Bonds LSS E,,,Grounded,,US,,,,,,"Somers Point, NJ",New York,NY,"Somers Point, NJ",Read,3,,0,"$3,000",,,Bonds #22,,N,,
S.S.Belle (1878B),,,schooner,,,11/1/1878,1878,11,1,Cape May SE 40 mi,,,1 crew washed overboard,,US,,,,,,"Somers Point, NJ",Fire Island,NY,"Baltimore, MD",,3,,1,"$3,000",,Fish scraps,,,N,Loss of crewman,
S.S.Belle R Hull,,J Driscoll et al,schooner,1858,"Toms River, NJ",11/17/1872,1872,11,17,Barnegat,,,"Collision w/ ""John B Myers""",,US,,,9,194,,"Brooklyn, NY",Virgina,,"New York, NY",J Driscoll,,,,,,,,N,N,Made way to NY; John B Myers sank,
S.S.Benjamin A Smith,,,schooner,1907,,5/14/1918,1918,5,14,Barnegat S 25 mi,,,Collision in fog,Wood,US,116,25.6,10.6,146,75,"Gloucester, MA",,,,Norman Ross,,,6,"$18,000",,,,,N,,
S.S.Benjamin A VanBrunt,,,schooner,1871,,9/20/1925,1925,9,20,,36-56-00 N,74-46-00 W,Collision,Wood,US,,,,1191,1132,"Philadelphia, PA",New York,NY,"Galveston, TX",O W McDonald,,,,"$76,000","$26,000",Coal,,,N,,
S.S.Benjamin B Church,,,schooner,1873,,12/19/1891,1891,12,19,Brigantine Shoal,,,Stranded (Refloated),Wood,US,142.6,35.2,15.1,513.45,487.78,"New Bedford, MA",,,,Allen,7,0,0,"$12,000","$2,800",Coal,So Brigantine,,N,,
S.S.Benjamin Brown,,,schooner,1847,,1869,1869,,,"Long Branch, NJ",,,Wrecked,Wood,US,,,7,,79,"Providence, RI",,,,Oliver,5,0,0,,,,,,N,,
S.S.Benjamin C Scribner,,,schooner,1856,"Milford, DE",5/5/1870,1870,5,5,Squan Beach,,,Storm,Wood,US,128,25,11.5,327,,"Fall River, MA",Portland,ME,"Philadelphia, PA",,8,,0,"$10,000",,Ice,,,N,,
S.S.Benjamin Douglas,,,schooner,,,12/16/1853,1853,12,16,Absecon Beach,,,,,,,,,,,,Middletown,NJ,"Philadelphia, PA",,,,,,,,,,N,,
S.S.Benjamin Franklin,,,schooner,,,5/14/1876,1876,5,14,Atlantic City,,,Grounded,Wood,US,,,,,,"Haverstraw, NY",Haverstraw,NY,"Absecon, NJ",Brooks,6,,0,,,Bricks,#27 Atlantic City,N,N,Refloated,
S.S.Benjamin Gartside,,,schooner,1869,,11/12/1883,1883,11,12,Barnegat,,,Storm (Proceeded),Wood,US,,,,343,326,"Philadelphia, PA",Boston,MA,"Savannah, GA",,,,1,,,,,,N,,
S.S.Benjamin Reed,,,schooner,1867,,3/10/1874,1874,3,10,Sandy Hook,,,Storm,Wood,US,96.6,25.9,9.6,197,,"Boothbay, ME",Mexico,,"New York, NY",Adams,,,,,,Mahogany,,,N,,
S.S.Bertie Baxter,,Clara E Wagner,schooner,1884,,3/10/1918,1918,3,10,"Egg Island, NJ",,,Foundered in storm,Wood,,,,,55,52,"Philadelphia, PA",Philadelphia,PA,"Egg Island, NJ",Theodore Whilden,4,0,0,"$1,000",$120,Sand,,,N,#3301,
S.S.Billow,,,schooner,1836,"Gardiner, ME",12/8/1869,1869,12,8,Brigantine Shoal,,,"Struck sunken wreck ""Cassandra""",,,,,,132,,"Salem, MA",New York,NY,"Wilmington, DE",,,,0,,,Scrap iron,,Y,N,Total loss,
S.S.Black Duck,,,schooner,,,11/14/1870,1870,11,14,Absecon,,,Lost sails,,England,,,,,,,,,,,,,,,,,,N,N,,
S.S.Blanche Hopkins (051881),,J A Hopkins,schooner,1880,"Coopers Point, NJ",5/15/1881,1881,5,15,Cold Spring Inlet,,,Stranded,Wood,US,152.5,36.4,16.4,634.54,602.81,"Philadelphia, PA",Boston,MA,"Philadelphia, PA",,8,,0,,,In Ballast,Cape May #39,N,N,#3136; Refloated,
S.S.Blanche Hopkins (111881),,J A Hopkins,schooner,1880,"Coopers Point, NJ",11/8/1881,1881,11,8,Great Egg Harbor,,,"Collision w/ ""Hatteras""",Wood,US,152.5,36.4,16.4,634.54,602.81,"Philadelphia, PA",Philadelphia,PA,"Boston, MA",,8,,0,"$33,000","$4,200",850 ton coal,,N,N,#3136; Repaired,
